,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
86,0,0,0,19274.0,Brickaville,41758.0,Atsinanana,150.0,Madagascar
87,0,0,0,19275.0,Amboasary-Atsimo,41755.0,Anosy,150.0,Madagascar
88,0,0,0,19276.0,Ambovombe-Androy,41754.0,Androy,150.0,Madagascar
89,0,0,0,19277.0,Ampanihy Ouest,41756.0,Atsimo Andrefana,150.0,Madagascar
90,0,0,0,19278.0,Ankazoabo,41756.0,Atsimo Andrefana,150.0,Madagascar
91,0,0,0,19279.0,Bekily,41754.0,Androy,150.0,Madagascar
92,0,0,0,19280.0,Beloha,41754.0,Androy,150.0,Madagascar
93,0,0,0,19281.0,Belo Sur Tsiribihina,41767.0,Menabe,150.0,Madagascar
94,0,0,0,19282.0,Benenitra,41756.0,Atsimo Andrefana,150.0,Madagascar
95,0,0,0,19283.0,Beroroha,41756.0,Atsimo Andrefana,150.0,Madagascar
96,0,0,0,19285.0,Betroka,41755.0,Anosy,150.0,Madagascar
97,0,0,0,19286.0,Mahabo,41767.0,Menabe,150.0,Madagascar
98,0,0,0,19287.0,Manja,41767.0,Menabe,150.0,Madagascar
99,0,0,0,19288.0,Miandrivazo,41767.0,Menabe,150.0,Madagascar
100,0,0,0,19289.0,Morombe,41756.0,Atsimo Andrefana,150.0,Madagascar
101,0,0,0,19290.0,Morondava,41767.0,Menabe,150.0,Madagascar
102,0,0,0,19291.0,Sakaraha,41756.0,Atsimo Andrefana,150.0,Madagascar
103,0,0,0,19292.0,Taolagnaro,41755.0,Anosy,150.0,Madagascar
104,0,0,0,19293.0,Toliara I,41756.0,Atsimo Andrefana,150.0,Madagascar
105,0,0,0,19294.0,Toliara II,41756.0,Atsimo Andrefana,150.0,Madagascar
106,0,0,0,19295.0,Tsihombe,41754.0,Androy,150.0,Madagascar
107,0,0,0,371788.0,Betioky Atsimo,41756.0,Atsimo Andrefana,150.0,Madagascar
108,0,0,0,371789.0,Isandra,41763.0,Haute Matsiatra,150.0,Madagascar
109,0,0,0,371790.0,Lalangina,41763.0,Haute Matsiatra,150.0,Madagascar
110,0,0,0,371791.0,Mandoto,41770.0,Vakinankaratra,150.0,Madagascar
111,0,0,0,371792.0,Vohibato,41763.0,Haute Matsiatra,150.0,Madagascar
